citation,query,title,url
136,momentum+features+for+stock+return+factors,Macroeconomic risks and characteristic-based  factor  models,https://www.sciencedirect.com/science/article/pii/S037842660900332X
299,momentum+features+for+stock+return+factors,Momentum  crashes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2371227
38,momentum+features+for+stock+return+factors,Performance  of international and global  equity  mutual funds: Do country  momentum  and sector  momentum  matter?,https://www.sciencedirect.com/science/article/pii/S0378426614000752
19,momentum+features+for+stock+return+factors,The fundamentals of  momentum  investing: European evidence on understanding  momentum  through fundamentals,https://onlinelibrary.wiley.com/doi/abs/10.1111/acfi.12462
50,momentum+features+for+stock+return+factors,REIT  momentum  and characteristic-related REIT returns,https://link.springer.com/article/10.1007/s11146-012-9371-2
43,momentum+features+for+stock+return+factors,"Value, size,  momentum , dividend yield, and volatility in China's A- share market",https://jpm.pm-research.com/content/41/5/57.short
2,momentum+features+for+stock+return+factors,Boosting the  Equity Momentum Factor  in Credit,https://www.tandfonline.com/doi/abs/10.1080/0015198X.2021.1954377
52,technical+indicators+predict+stock+price,Equity  premium  prediction : Are economic and  technical indicators  unstable?,https://www.sciencedirect.com/science/article/pii/S0169207016300267
35,price+and+volume+data+for+stock+market,The  price - volume  relationship in the Chilean  stock market,https://clutejournals.com/index.php/IBER/article/view/3296
5,price+and+volume+data+for+stock+market,A new  momentum  measurement in the Chinese  stock market,https://www.sciencedirect.com/science/article/pii/S0927538X22000543
3748,price+and+volume+data+for+stock+market,Measuring mutual fund  performance  with characteristic‐based benchmarks,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1997.tb02724.x
155,price+and+volume+data+for+stock+market,Intelligent  technical analysis  based equivolume charting for  stock trading  using neural networks,https://www.sciencedirect.com/science/article/pii/S0957417406003617
172,price+and+volume+data+for+stock+market,Stock price prediction  using neural network with hybridized  market indicators,http://eprints.lmu.edu.ng/3224/
26,price+and+volume+data+for+stock+market,Measuring  stock price  and  trading volume  causality among Nifty50 stocks: The Toda Yamamoto method,https://ieeexplore.ieee.org/abstract/document/7732325/
63,price+and+volume+data+for+stock+market,Price  and  volume  effects associated with derivative warrant issuance on the  Stock Exchange  of Hong Kong,https://www.sciencedirect.com/science/article/pii/S0378426600001382
561,momentum+features+for+stock+return+factors,Earnings and price  momentum,https://www.sciencedirect.com/science/article/pii/S0304405X05002175
1724,geometric+shapes+technical+indicators+stock+market,"Foundations of  technical analysis : Computational algorithms, statistical inference, and empirical implementation",https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-1082.00265
110,momentum+features+for+stock+return+factors,Factor momentum  everywhere,https://jpm.pm-research.com/content/45/3/13.short
750,price+and+volume+data+for+stock+market,"Stock price  prediction using LSTM, RNN and CNN-sliding window model",https://ieeexplore.ieee.org/abstract/document/8126078/
35,price+and+volume+data+for+stock+market,Time series  momentum  and contrarian effects in the Chinese  stock market,https://www.sciencedirect.com/science/article/pii/S0378437117304466
206,price+and+volume+data+for+stock+market,Technical analysis  and sentiment embeddings for  market  trend  prediction,https://www.sciencedirect.com/science/article/pii/S0957417419304142
524,price+and+volume+data+for+stock+market,Predicting stock market  index using fusion of machine learning techniques,https://www.sciencedirect.com/science/article/pii/S0957417414006551
268,price+and+volume+data+for+stock+market,A GARCH examination of the relationship between  volume  and  price  variability in futures  markets,https://search.proquest.com/openview/f67c9188512c3dd2b2e141f50283ab64/1?pq-origsite=gscholar&cbl=47957
114,price+and+volume+data+for+stock+market,Combining technical analysis with sentiment analysis for  stock price  prediction,https://ieeexplore.ieee.org/abstract/document/6118898/
763,price+and+volume+data+for+stock+market,What  factors  drive global  stock  returns?,https://academic.oup.com/rfs/article-abstract/24/8/2527/1572823
2994,price+and+volume+data+for+stock+market,Value and  momentum  everywhere,https://onlinelibrary.wiley.com/doi/abs/10.1111/jofi.12021
91,price+and+volume+data+for+stock+market,"Fuzzy logic,  trading  uncertainty and  technical trading",https://www.sciencedirect.com/science/article/pii/S0378426612002889
5,price+and+volume+data+for+stock+market,Understanding  technical analysis : A conceptual framework,https://www.indianjournals.com/ijor.aspx?target=ijor:ijarmss&volume=4&issue=4&article=021
62,price+and+volume+data+for+stock+market,Momentum  strategies for Islamic  stocks,https://www.sciencedirect.com/science/article/pii/S0927538X16300762
1286,price+and+volume+data+for+stock+market,"Can book-to- market , size and  momentum  be risk  factors  that predict economic growth?",https://www.sciencedirect.com/science/article/pii/S0304405X00000568
562,price+and+volume+data+for+stock+market,"The dynamic relation between  stock  returns,  trading volume , and volatility",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6288.2001.tb00024.x
980,price+and+volume+data+for+stock+market,"Variations in  trading volume , return volatility, and  trading  costs: Evidence on recent  price  formation models",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1993.tb04706.x
89,price+and+volume+data+for+stock+market,A note on  price - volume  dynamics in an emerging  stock market,https://www.sciencedirect.com/science/article/pii/0378426695000038
114,price+based+indicators+stock+prediciton,[PDF] [PDF]   State-of-the-art in  stock prediction  techniques,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8bbc6b03515a9f7de2464897f0bc10a7cd0b8347
25,price+based+indicators+stock+prediciton,Predicting stock prices  using ensemble learning and sentiment  analysis,https://ieeexplore.ieee.org/abstract/document/8791689/
48,price+based+indicators+stock+prediciton,Forecasting stock price  movements with multiple data sources: Evidence from  stock market  in China,https://www.sciencedirect.com/science/article/pii/S0378437119318941
30,price+based+indicators+stock+prediciton,[PDF] [PDF]   Does fundamental  analysis predict stock  returns? Evidence from non-financial companies listed on KSE,http://www.orizonturi.ucdc.ro/arhiva/2013_khe_4_pdf/khe_vol_5_iss_4_182to190.pdf
121,price+based+indicators+stock+prediciton,Forecasting the New York  stock exchange  composite index with past  price  and interest rate on condition of  volume  spike,https://www.sciencedirect.com/science/article/pii/S0957417404000855
13,price+based+indicators+stock+prediciton,[PDF] [PDF]   Price  changes and  trading volume  relationship: Some preliminary evidence from the Kuala Lumpur  Stock Exchange,http://psasir.upm.edu.my/id/eprint/3071/1/Price_Changes_and_Trading_Volume_Relationship_Some_Preliminary_Evidence.pdf
45,price+based+indicators+stock+prediciton,Using industry  momentum  to improve portfolio  performance,https://www.sciencedirect.com/science/article/pii/S0378426611003529
37,price+based+indicators+stock+prediciton,"[BOOK] [B]   The role of investability restrictions on size, value, and  momentum  in international  stock  returns",http://www.cbs.dk/files/cbs.dk/karolyi_wu_the_role_of_investability_restrictions_on_size_value_and_momentum_in_international_stock_returns_cover_page_111412_0.pdf
46,price+based+indicators+stock+prediciton,Monetary  momentum,https://www.nber.org/papers/w24748
4,price+based+indicators+stock+prediciton,The effectiveness of the automatic system of fuzzy logic-based  technical patterns  recognition: Evidence from Tehran  stock exchange,https://amfa.arak.iau.ir/article_666547.html
